&,dan
acak2,acak-acak
ad,ada
adl,adalah
adlh,adalah
agr,agar
aj,saja
aja,saja
alloh,allah
ama,sama
amrik,amerika
ane,saya
anjing2,anjing-anjing
apakakhhh,apakah
apany,apanya
aq,aku
asenk,asing
ato,atau
atw,atau
b,biasa
bae,baik
bae2,baik-baik
baek,baik
baget,banget
bangets,banget 
barrti,berarti
batul,betul
bayak,banyak
bbm.sembakonya,bbm sembakonya
bca,baca
belon,belum
benar2,benar-benar
bencna,bencana
bener,benar
beneran,benaran
bgs,bangsa
bgt,banget
bhw,bahwa
bilg,bilang
bkinn,bikin
bkln,bakalan
bkn,bukan
bknkah,bukankah
bl,bukalapak
blg,bilang
blh,boleh
bli,beli
blm,belum
bln,bulan
bls,balas
bnyak,banyak
bnyk,banyak
bodoh.mrk,bodoh mereka
boss,bos
bpk,bapak
brobat,berobat
brooooow\,bro
brp,berapa
brti,berarti
bs,bisa
bsa,bisa
bsk,besok
bukane,bukannya
bukuh,buku
bwh,bawah
bwk,bawa
bwt,buat
byk,banyak
c1nta,cinta
cam,semacam
cape,capek
cbong,cebong
cebong2,cebong-cebong
cewbong,cebong
ckp,cukup
cm,cuma
cr,cara
cyduk,ciduk
d,di
da,ada
dah,sudah
dech..,deh
dg,dengan
dgn,dengan
dgrin,dengarin
digaji,digaji
dilakukn,dilakukan
dimarih..,disini
dimatik,dimatikan
dipotong2..tegor,dipotong-potong
ditaro,ditaruh
dl,dulu
dlam,dalam
dlm,dalam
dlu,dulu
dlu.,dulu
dn,dan
dng,dengan
donggg..,dong
donk..,dong
dpan,depan
dpn,depan
dpt,dapat
dr,dari
drpd,daripada
dsandingkan,disandingkan
dtg,datang
ecek2,ecek-ecek
elu,kamu
emg,emang
en,dan
ente,kamu
fb,facebook
fiktip,fiktif
fitnh,fitnah
fz,fahri hamzah
g,tidak
ga,tidak
gabener,tidak benar
gabisa,tidak bisa
gaj,tidak
gak,tidak
gapernah,tidak pernah
gedhe,besar
gendheng,gendeng
ginii,gini
gk,tidak
gmn,gimana
gmna,gimana
gng,gunung
gosah,tidak usah
gt,gitu
gtu,begitu
gue,saya
gw,saya
gwe,saya
gx,tidak
hayoolooh,hayo loh
hejo,hijau
hny,hanya
hnya,hanya
hoak,hoax
hoaks,hoax
hrs,harus
hrsnya,harusnya
hy,hai
isu2,isu-isu
ituhh,itu
jd,jadi
jdi,jadi
jg,juga
jga,juga
jgn,jangan
jgn2,jangan-jangan
jgnkan,jangankan
jilaaaaat,jilat
jk,jusuf kalla
jkw,jokowi
jl,jalan
jln2,jalan-jalan
jls,jelas
jng,jangan
jngn,jangan
jwb,jawab
jwbnya,jawabnya
k,ke
kagak,tidak
kale..,kalian
kalo,kalau
kampret2,kampret-kampret
karna,karena
kbr,kabar
kereeeeeeen,keren
kesono,kesana
ketangket,ketangkap
kewenangn,kewenangan
khayalan2,khayalan-khayalan
khi4n4ti,khianati
kite,kita
kk,kak
kl,kalau
klaien,kalian
klakuan,kelakukan
kliatan,kelihatan
klo,kalau
klu,kalau
klw,kalau
kmn2,kemana-mana
kmrin,kemarin
kmrn,kemarin
kmu,kamu
knapa,kenapa
knp,kenapa
knpaa,kenapa
ko,kok
koq,kok
koq,kok
kpan,kapan
kpd,kepada
krang,kurang
krn,karena
krna,karena
krt,kereta
ksh,kasih 
ktua,ketua
kwalitas,kualitas
kyk,kayak
kyknya,kayaknya
lagi2,lag-lagi
lama2,lama-lama
lanjutken,lanjutkan
laporkn,laporkan
lbh,lebih
lg,lagi
lg2,lagi-lagi
lgi,lagi
lgsg,langsung
lha,lah
lho,loh
ln,luar negeri
lo,kamu
loe,kamu
loo,kamu
lu,kamu
lum,belum
luuu,kamu
ma,sama
maap,maaf
maen,main
mahallllll,mahal
membw,membawa
menjd,menjadi
met,selamat
mjd,menjadi
mk,maka
mkn,makan
mlh,malah
mmg,memang
mmpolitisasi,politisasi
mna,mana
mo,mau
mrk.itu,mereka itu
msh,masih
mslh,masalah
mu,kamu
muda2,muda-muda
muke,muka
munafiq,munafik
mw,mau
n,dan
naeknya,naiknya
nahh,nah
nga,tidak
ngetwuiitt,ngetwit
ngga,tidak
nggak,tidak
ngk,tidak
ni,ini
nma,nama
nnti,nanti
no,nomor
nyesel,menyesal
oada,pada
oohhhhhh,oh
orang2,orang-orang
org,orang
org2,orang-orang
orng,orang
p,bapak
pade,pada
pake,pakai
panic,panik
pcya,percaya
pd,pada
pdhal,padahal
pdhl,padahal
pgi,pagi
pingin,pengen
pinter,pintar
pk,pakai
pke,pakai
pmerintah,pemerintah
pnjman,pinjaman
pnting,penting
pny,punya
prefot,freport
pres,presiden
president,presiden
prihatin,perihatin
prnh,pernah
q,aku
rata2,rata-rata
rejim,rezim
rk,ridwan kamil
rkyt,rakyat
saat2,saat-saat
sbeyeh,sby
sbg,sebagai
sbgai,sebagai
sbnarnya,sebenarnya
scr,secara
scra,secara
sdah,sudah
sdg,sedang
sdh,sudah
sdmikian,sedemikian
sdr,sendiri
se7,setuju
seakan2,seakan-akan
sebab2,sebab-sebab
sebgn,sebagian
sec,secara personal
sedng,sedang
seh,sih
sempet,sempat
semuaaaaaaaaaaaaa,semua
sendr,sendiri
sgla,segala
sgra,segera
sgt,sangat
shg,sehingga
shrsnya,seharusnya
sj,saja
skakmattt,skakmat
skali,sekali
skg,sekarang
skolh,sekolah
skrg,sekarang
skrng,sekarang
slalu,selalu
slamat,selamat
slh,salah
sllu,selalu
slm,salam
slmat,selamat
slmt,selamat
sluu,selalu
sm,sama
smg,semoga
smoga,semoga
smpe,sampai
sngt,sangat
snjata,senjata
soalnye,soalnya
sodakoh,sedekah
solusiny,solusinya
speda,sepeda
sprt,seperti
spt,seperti
sptnya,sepertinya
stelah,setelah
stlh,setelah
styap,setiap
sumbngan?,sumbangan
sy,saya
sya,saya
syi*h,syiah
syurga,sorga
syykur2,syukur-syukur
tafi,tapi
tak,tidak
tambh,tambah
tangging,tanggung
tangkaaap,tangkap
taqdir,takdir
tar,nanti
tdi,tadi
tdk,tidak
te2p,tetap
telaj,telah
tenang2,tenang-tenang
teriak2,teriak-teriak
terll,terlalu
teroeis,teroris
terooosa,terus
teror2,teror-teror
teuteup,tetap
tgl,tanggal
th,tahun
thd,terhadap
thn,tahun
tk,tidak
tlah,telah
tlg,tolong
tlg,tolong 
tlnyaï¿½ ,timelinenya
tmn,teman
tnh,tanah
toh,tuh
tp,tapi
tpi,tapi
trims,terimakasih 
trjadi,terjadi
trkhr,terakhir
trs,terus
trus,terus
truzz,terus
tsb,tersebut
ttp,tetap
tuhn,tuhan
tujyannya,tujuannya
tykang,tukang
u,untuk
uda,udah
udh,sudah
udhlah,sudahlah
utk,untuk
utl,untuk
wasap,wa
wowo,prabowo
wrga,warga
y,ya
yaa,ya
yg,yang
yng,yang
zooooonk,zonk
mrk,mereka
"loo,","kamu,"
ngarep,berharap
ye,ya
kacian,kasihan
luh,kamu
maknye.,mukanya
menghalang2i,menghalang-halangi
tetep,tetap
bbrp,beberapa
skr,sekarang
korup,korupsi
sndri,sendiri
byk?,banyak?
aplg,apalagi
lempar2an,lempar-lemparan
statemen,statement
gatau,tidak tahu
mgk,tidak
die,dia
peka'i,pki
cinak,cina
"blm, ","belum ,"
bela2in,bela-belain
"skrng,","sekarang,"
yth.,yang terhormat.
frsutai,frustasi
awaas,awas
booong,bohong
hlang,hilang
mang,emang
gua,aku
enggak,tidak
ngetwiitt,ngetwit
mati2an,mati-matian
ono,itu
ky,kayak
ikut2an,ikut-ikutan
bowo,prabowo
sono,sana
kmpret,kampret
twit,tweet
sampe,sampai
kamfreet,kampret
ana,saya
nakut2i,nakut-nakuti
mba,mbak
koment,komen
ngr2,negara-negara
bp.,bapak
mantaap,mantap
brg,bersama
km,kamu
dmn,dimana
yank,sayang
terusss,terus
nda,tidak
gamau,tidak_mau
bangeettt,banget
boong,bohong
gilla,gila
cepet,cepat
 jhat,jahat
w,saya
seneng,senang
Mrah,marah
sno ,sono 
pkirin,pikirin
 ttg,tentang
gag,tidak
kaga,tidak
naek,naik
gaenak,tidak enak
njing,anjing
gx,tidak
jatohin,jatuhin
abis,habis
bnget,banget
gede,besar
aje,saja
kdg,kadang
nmx,namanya
bgd,banget
mw,mau 
Gmna ,gimana
bdo,bodoh 
amt,amat
klwr,keluar
ujan'na,hujannya
 bgd,banget
nie,ini
mlm,malam
kencank,kencang
cynk,sayang
syg,sayang
met,selamat
say,sayang
cuzz,langsung
mmg,memang
Awak,kamu 
takpa,tidak papa
gapunya,tidak punya
gabisa,tidak bisa
gpp,tidak papa
w,saya
ak,aku
tlh,telah 
and,dan
ngeliat,melihat
gakuat,tidak kuat
tau,tahu
temen,teman
iye,iya
liat,lihat
doank,doang
hri,hari
td,tadi
tdr,tidur
dgr,dengar 
telp,telpon
ja,saja
